Дата;Амп. (А);Амп. (B);Амп. (C)
30.04.2021;;0,19;0,13
01.05.2021;;0,1;0,11
02.05.2021;;0,09;0,1
03.05.2021;;0,15;0,14
04.05.2021;;0,11;0,11
05.05.2021;0,11;0,11;0,11
06.05.2021;0,12;0,13;0,13
07.05.2021;0,09;0,09;0,1
08.05.2021;0,12;0,14;0,14
09.05.2021;0,1;0,1;0,1
10.05.2021;0,09;0,09;0,1
11.05.2021;0,09;0,09;0,1
12.05.2021;0,11;0,11;0,1
13.05.2021;0,09;0,09;0,1
14.05.2021;0,11;0,11;0,11
15.05.2021;0,12;0,12;0,11
16.05.2021;0,09;0,12;0,1
17.05.2021;0,09;0,09;0,1
18.05.2021;0,1;0,09;0,1
19.05.2021;0,09;0,09;0,1
20.05.2021;0,11;0,12;0,1
21.05.2021;0,15;0,16;0,14
22.05.2021;0,09;0,09;0,1
23.05.2021;0,09;0,09;0,1
24.05.2021;0,1;0,09;0,1
25.05.2021;0,09;0,09;0,1
26.05.2021;0,11;0,12;0,12
27.05.2021;0,12;0,13;0,12
28.05.2021;0,11;0,11;0,11
29.05.2021;0,11;0,12;0,12
30.05.2021;0,09;0,09;0,1
31.05.2021;0,09;0,09;0,1
01.06.2021;0,1;0,1;0,11
02.06.2021;0,09;0,09;0,1
03.06.2021;0,09;0,09;0,1
04.06.2021;0,09;0,09;0,1
05.06.2021;0,09;0,09;0,1
06.06.2021;0,12;0,12;0,13
07.06.2021;0,11;0,12;0,12
08.06.2021;0,11;0,11;0,11
09.06.2021;0,14;0,18;0,13
10.06.2021;0,11;0,12;0,13
11.06.2021;0,12;0,12;0,15
12.06.2021;0,12;0,12;0,13
13.06.2021;0,11;0,1;0,11
14.06.2021;0,09;0,09;0,1
15.06.2021;0,11;0,11;0,11
16.06.2021;0,1;0,09;0,1
17.06.2021;0,09;0,11;0,1
18.06.2021;0,1;0,09;0,1
19.06.2021;0,09;0,09;0,1
20.06.2021;0,09;0,09;0,1
21.06.2021;0,09;0,09;0,1
22.06.2021;0,1;0,09;0,1
23.06.2021;0,1;0,09;0,1
24.06.2021;0,1;0,09;0,1
25.06.2021;0,1;0,09;0,1
26.06.2021;0,11;0,11;0,1
27.06.2021;0,13;0,14;0,12
28.06.2021;0,27;0,26;0,25
29.06.2021;0,11;0,11;0,12
30.06.2021;0,12;0,12;0,12
01.07.2021;0,11;0,12;0,11
02.07.2021;0,09;0,09;0,1
03.07.2021;0,1;0,09;0,1
04.07.2021;0,09;0,09;0,1
05.07.2021;0,09;0,09;0,1
06.07.2021;0,09;0,09;0,1
07.07.2021;0,09;0,09;0,1
08.07.2021;0,09;0,09;0,1
09.07.2021;0,1;0,09;0,1
10.07.2021;0,1;0,09;0,1
11.07.2021;0,11;0,11;0,11
12.07.2021;0,1;0,09;0,1
13.07.2021;0,09;0,09;0,1
14.07.2021;0,1;0,09;0,1
15.07.2021;0,18;0,19;0,16
16.07.2021;0,1;0,1;0,11
17.07.2021;0,12;0,11;0,11
18.07.2021;0,11;0,12;0,11
19.07.2021;0,11;0,12;0,12
20.07.2021;0,09;0,09;0,1
21.07.2021;0,09;0,09;0,1
22.07.2021;0,1;0,09;0,1
23.07.2021;0,1;0,11;0,1
24.07.2021;0,09;0,09;0,1
25.07.2021;0,09;0,09;0,1
26.07.2021;0,09;0,09;0,1
27.07.2021;0,1;0,09;0,11
28.07.2021;0,12;0,13;0,12
29.07.2021;0,14;0,16;0,13
30.07.2021;0,18;0,19;0,19
31.07.2021;0,1;0,11;0,11
01.08.2021;0,09;0,09;0,11
02.08.2021;0,12;0,15;0,12
03.08.2021;0,1;0,1;0,11
04.08.2021;0,09;0,09;0,11
05.08.2021;0,11;0,11;0,13
06.08.2021;;0,11;0,12
07.08.2021;0,09;;0,11
08.08.2021;;;0,12
09.08.2021;;;0,12
10.08.2021;;;0,11
11.08.2021;;;0,15
12.08.2021;;;0,14
13.08.2021;;;0,12
14.08.2021;;;0,11
15.08.2021;;;0,1
16.08.2021;;;0,11
17.08.2021;;;0,11
18.08.2021;;;0,19
19.08.2021;;;0,11
20.08.2021;;;0,11
21.08.2021;;;0,11
22.08.2021;;;0,12
23.08.2021;;;0,11
24.08.2021;;;0,11
25.08.2021;;;0,11
26.08.2021;;;0,13
27.08.2021;;;0,12
28.08.2021;;;0,1
29.08.2021;;;0,1
30.08.2021;;;0,12
31.08.2021;;;0,12
01.09.2021;;;0,16
02.09.2021;;;0,1
03.09.2021;;;0,14
04.09.2021;;;0,11
05.09.2021;;;0,1
06.09.2021;;;0,1
07.09.2021;;;0,13
08.09.2021;;;0,14
09.09.2021;;;0,11
10.09.2021;;;0,11
11.09.2021;;;0,12
12.09.2021;;;0,12
13.09.2021;;;0,11
14.09.2021;;;0,1
15.09.2021;;;0,1
16.09.2021;;;0,11
17.09.2021;;;0,11
18.09.2021;;;0,11
19.09.2021;;;0,11
20.09.2021;;;0,12
21.09.2021;;;0,12
22.09.2021;;;0,11
23.09.2021;;;0,13
24.09.2021;;;0,12
25.09.2021;;;0,14
26.09.2021;;;0,14
27.09.2021;;;0,11
28.09.2021;;;0,11
29.09.2021;;;0,11
30.09.2021;;;0,1
01.10.2021;;;0,11
02.10.2021;;;0,12
03.10.2021;;;0,1
04.10.2021;;;0,1
05.10.2021;;;0,12
07.10.2021;;;0,1
08.10.2021;;;0,1
09.10.2021;;;0,11
10.10.2021;;;0,1
11.10.2021;;;0,1
12.10.2021;;;0,1
13.10.2021;;;0,14
14.10.2021;;;0,14
15.10.2021;;;0,15
16.10.2021;;;0,14
17.10.2021;;;0,11
18.10.2021;;;0,13
19.10.2021;;;0,1
20.10.2021;;;0,15
21.10.2021;;;0,1
22.10.2021;;;0,13
23.10.2021;;;0,13
24.10.2021;;;0,12
25.10.2021;;;0,1
26.10.2021;;;0,1
27.10.2021;;;0,1
28.10.2021;;;0,14
29.10.2021;;;0,12
30.10.2021;;;0,1
31.10.2021;;;0,1
01.11.2021;;;0,11
02.11.2021;;;0,11
03.11.2021;;;0,11
04.11.2021;;;0,14
